probe_id,gene_symbol,entrez_gene_id,sepsis_mean,healthy_mean,mean_difference,p_value,fdr
ILMN_3245748,LOC100131704,100131704.0,4.480529678391305,4.214602906583333,0.26592677180797164,0.0006612588626996374,0.0013223708703618093
ILMN_3301878,LOC729681,729681.0,4.531399748043479,4.214355561583332,0.317044186460147,0.0006614597107357807,0.0013227137711062425
ILMN_1718013,CPSF3L,54973.0,6.292499832391305,5.657735788583332,0.6347640438079729,0.000661472804347593,0.0013226812075920092
ILMN_1673330,ADRBK1,156.0,4.519119249782609,4.240756849,0.27836240078260843,0.0006615079601466661,0.0013226927605668316
ILMN_1882262,,,4.544105691565218,4.281887084333333,0.26221860723188417,0.000661536057891103,0.0013226902004809988
ILMN_1708367,LOC649501,649501.0,4.537631173913044,4.24807122975,0.2895599441630443,0.0006615737603084152,0.001322706843570575
ILMN_3233753,LOC730415,730415.0,4.490096774347826,4.207828707916667,0.2822680664311594,0.0006617231587536164,0.0013229467929202518
ILMN_1838504,,,4.609074501652174,4.26658816475,0.3424863369021738,0.0006617273574055062,0.0013228964438731898
ILMN_1686156,CUL4A,8451.0,4.6171924229565215,4.313760471666667,0.3034319512898547,0.0006617282270189565,0.001322839444324415
ILMN_1704751,PROKR1,10887.0,4.438982388434782,4.182629729749999,0.25635265868478374,0.0006618174053253758,0.0013229589770441057
ILMN_1669083,TXNRD2,10587.0,4.539881645217391,4.2474067956666675,0.29247484955072345,0.0006619393407431327,0.0013231439770146538
ILMN_1756378,LOC645580,645580.0,4.725060814043479,4.27082646175,0.4542343522934793,0.0006620107379141683,0.0013232279446441554
ILMN_1675999,LOC646632,646632.0,4.708208965956522,4.312987101666667,0.39522186428985506,0.0006620642706362237,0.0013232761989192357
ILMN_1754105,NDRG4,65009.0,4.578889702826086,4.252704237916666,0.32618546490942,0.0006621473660445378,0.0013233835336007114
ILMN_3246344,LOC100101115,100101115.0,4.476412839000001,4.210126252999999,0.26628658600000144,0.0006623031867673559,0.0013236362028509704
ILMN_1791141,LOC648245,648245.0,4.564900776913043,4.259514882333334,0.3053858945797092,0.0006623374553782074,0.0013236459342843903
ILMN_1801263,UGT2B17,7367.0,4.573914113391304,4.277664611166666,0.2962495022246374,0.0006623823808512927,0.0013236769610771306
ILMN_1781173,HDAC9,9734.0,4.519077407347826,4.2427853015,0.27629210584782626,0.0006625609550945485,0.0013239750513169347
ILMN_1808368,PRKACG,5568.0,4.727123750782609,4.2706564115833325,0.4564673391992766,0.0006625720168407961,0.0013239383949149282
ILMN_1653577,C21orf41,54073.0,4.541445945652174,4.280306766000001,0.26113917965217315,0.0006625843339567263,0.0013239042501102245
ILMN_1719870,FAM72D,728833.0,4.536204451434783,4.229849670166666,0.30635478126811666,0.0006625981144764872,0.0013238730322213048
ILMN_1780698,ZFYVE19,84936.0,6.586005790086957,5.938753694,0.647252096086957,0.0006626789258095839,0.0013239757389272198
ILMN_3307678,TTLL9,164395.0,4.523345464000001,4.2534708642500005,0.2698745997500005,0.0006626800148563411,0.001323919165285634
