ID_REF,GSM4075768,GSM4075770,GSM4075772,GSM4075774,GSM4075776,GSM4075777,GSM4075780,GSM4075782,GSM4075784,GSM4075786,GSM4075788,GSM4075790,GSM4075792,GSM4075794,GSM4075796,GSM4075798,GSM4075801,GSM4075803,GSM4075804,GSM4075805,GSM4075807,GSM4075809,GSM4075811,GSM4075813,GSM4075814,GSM4075815,GSM4075816,GSM4075817,GSM4075818,GSM4075819,GSM4075820,GSM4075821,GSM4075822,GSM4075823,GSM4075824
ILMN_1745787,4.885460707,5.30824657,5.66201453,5.503082186,6.090245428,5.530040623,4.236446334,5.465111216,4.722921932,4.878309723,4.68401126,4.517158097,4.455210778,4.266065879,4.565397418,4.688240511,4.917296319,4.404620341,4.625820387,5.865538609,4.610930539,5.353142745,4.542644597,5.281027701,4.607077929,5.340388778,5.036303688,5.184734882,5.979055066,5.840653026,6.038952313,5.330941379,5.125303425,5.406548197,6.131992786
ILMN_1745788,7.150821857,5.44969682,7.15801776,7.102022579,5.191153808,5.225558745,7.041923673,5.570363482,6.518237621,6.402830316,6.759195921,5.650327354,6.725919966,4.826806066,7.424052156,7.234227195,5.498910264,8.212728915,7.276105331,7.801021455,7.076680856,6.043187573,5.287135163,7.50209494,7.061075959,6.913711809,7.010128066,6.688775181,7.180334397,6.739479892,6.607986575,7.555602481,6.668864587,6.778550015,7.248823894
ILMN_1745798,7.269589702,7.190680472,7.152293236,6.622297963,5.67625778,6.970427299,7.583443557,6.524515714,6.906048283,8.133214081,7.144367011,7.311134392,6.388925663,4.246190752,6.945863455,7.308812735,8.181987472,7.998530843,9.069743298,7.471458764,8.103637498,5.873610313,6.956873287,6.267310151,6.33224385,5.398668067,5.860831166,5.856189746,4.929889427,5.541095448,5.584765827,5.641074943,5.696823328,6.064971572,5.345955034
ILMN_1745801,4.170439169,4.914791006,4.981615653,5.114110319,5.094162503,4.941064094,4.18833387,4.248057865,4.231380461,4.177000196,4.333689877,4.188462558,4.191730568,4.282390194,4.302394595,4.271349327,4.25740132,4.26221283,4.297709219,4.228389048,4.234369989,4.233449702,4.202875523,4.163654388,4.14409266,4.161280457,4.17510474,4.172315839,4.171251759,4.193985266,4.163161217,4.149588818,4.127126838,4.130289308,4.104120032
ILMN_1745806,5.986908792,6.506641677,7.160458583,7.386079972,6.570131464,6.49113363,5.337373369,6.257352849,6.006394544,6.367356735,6.281268871,6.366657013,5.576248484,8.590040636,5.938419424,6.123813497,6.853842259,7.522414479,7.156804764,7.935814408,6.500964668,5.912495093,5.920479925,5.422820585,4.964161719,5.780222739,5.825247306,5.324398707,5.871614222,5.263266228,5.849819485,5.65688039,4.939725765,5.948275042,5.387135293
ILMN_1745807,6.960195171,7.092818828,7.12360775,6.641940192,5.939004228,6.402010908,5.918280805,6.952843782,7.723699815,6.965481809,7.001565085,6.995319523,7.405651396,4.544388896,6.508366681,6.918107486,8.29295059,6.983813793,7.736963499,7.883341658,7.802233808,6.385375521,5.809659328,6.109138577,6.113237492,5.770427723,6.084910034,6.246647963,6.444183343,6.144908825,5.628341052,5.929609481,6.063588669,6.295452738,5.888130487
ILMN_1745811,4.465409239,5.109418322,5.234209803,5.347867731,5.043472666,5.299696505,4.505386749,4.663593913,4.53686111,4.859203445,4.588542487,4.427066412,4.552846247,4.294816127,4.948743545,5.291267829,4.482109886,4.352159351,5.3637097,5.019084864,4.643114474,4.329153402,4.453975242,4.623978964,4.539885495,4.14861412,4.874444343,4.425057424,4.453026008,4.167783638,4.231676561,4.231850105,4.465107146,4.305986946,4.292346353
ILMN_1745813,4.851918833,5.424332589,5.340254052,5.388508593,5.146739189,5.298302918,5.032176513,5.14056145,4.753445124,5.43963184,4.820755639,4.385685164,5.031347275,4.69267227,4.834785453,5.039546978,5.829151644,6.011409639,5.220875342,5.661205632,5.599964787,4.439485079,4.912959158,4.480680221,4.958513273,4.631363874,5.132639922,4.854594889,4.360060037,4.990850094,4.994903688,4.83789116,4.916067948,4.795328827,5.093125736
ILMN_1745817,4.335681373,4.955052142,5.075816749,5.109403059,5.149815668,5.164937877,4.424873147,4.384829448,4.381781743,4.36788648,4.287382625,4.249221426,4.273507998,4.506935258,4.355753947,4.374323759,4.597240268,4.321841401,4.350602472,4.471237759,4.284336628,4.247713193,4.225756819,4.351943925,4.290580345,4.411315261,4.244134063,4.220440957,4.196885461,4.262752556,4.190153458,4.24419841,4.215497757,4.176006256,4.34877387
ILMN_1745820,4.600884938,5.094412024,5.127022182,5.127091909,5.038823455,5.117701246,4.765099778,4.338668235,4.270149074,4.608432992,4.35347817,5.013870273,4.34073583,4.74053074,4.35318071,4.484539031,4.490462387,4.321559538,4.336606661,4.313473928,4.711407848,4.571979511,4.367670006,4.461108019,4.310531228,4.250399651,4.153177997,4.350182753,4.202697941,4.17153858,4.224785898,4.441610967,4.205817338,4.574471805,4.20480667
